SIS Login ID,Section,Quiz 1 (3436783),Quiz 2 (3434193),Quiz 3 (3436786),Quiz 4 (3434195),Quiz 5 (3436788),Quiz 6 (3436789),Quiz 7 (3434198),Quiz 8 (3434199),Quiz 9 (3434200),Quiz 10 (3436784),Exam 1 (3436778),Exam 2 (3436779),Exam 3 (3434204),Exam 4 (3434205),YOUR-CHOICE -- Greenhouse Inventory (3434380),YOUR-CHOICE -- Citation Manager (3434395),YOUR-CHOICE -- Critical Book Report(s) (3436794),YOUR-CHOICE -- Mauna Loa Observatory (3436798),YOUR-CHOICE -- Zoo Visit (3434349),YOUR-CHOICE -- Interviews (3436796),YOUR-CHOICE -- Introduction to R (3436797),YOUR-CHOICE -- Final (3580288),YOUR-CHOICE -- Midterm (3580262),Pre-Test (3434152),Post-Test (3608052),Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Final Score,Quizzes Current Points,Quizzes Final Points,Quizzes Current Score,Quizzes Final Score,Exams Current Points,Exams Final Points,Exams Current Score,Exams Final Score,Your-Choice Current Points,Your-Choice Final Points,Your-Choice Current Score,Your-Choice Final Score,Pre- Post-Tests Current Points,Pre- Post-Tests Final Points,Pre- Post-Tests Current Score,Pre- Post-Tests Final Score,Current Points,Final Points,Current Score,Final Score
10832654,BIOL-1620-001,8,7,8,6,6,10,10,10,10,10,93,91,88,86,10,8,110,,,10,30,102,48,50,50,0,0,,,85,85,85,85,358,358,89.5,89.5,150,150,150,150,100,100,100,100,693,693,99,99
10576347,BIOL-1620-001,3,10,4,9,6,10,8,10,10,10,88,68,87,74,10,10,30,10,10,30,30,80,50,50,46,0,0,,,80,80,80,80,317,317,79.25,79.25,130,130,130,130,96,96,96,96,623,623,89,89
10722114,BIOL-1620-001,2,2,6,6,6,10,2,10,10,10,42,78,61,65,,,80,5,10,20,30,80,65,50,40,0,0,,,64,64,64,64,246,246,61.5,61.5,145,145,145,145,90,90,90,90,545,545,77.86,77.86
10659887,BIOL-1620-001,5,6,6,6,6,10,8,10,10,10,89,73,92,73,10,10,80,10,10,,30,70,80,50,46,0,0,,,77,77,77,77,327,327,81.75,81.75,150,150,150,150,96,96,96,96,650,650,92.86,92.86
10615091,BIOL-1620-001,4,3,9,8,6,10,4,10,10,10,77,71,59,57,10,,,,10,,30,0,50,50,38,0,0,,,74,74,74,74,264,264,66,66,50,50,50,50,88,88,88,88,476,476,68,68
10573286,BIOL-1620-001,4,8,3,5,6,10,8,10,10,10,67,48,69,74,10,,100,,,10,30,100,50,50,28,0,0,,,74,74,74,74,258,258,64.5,64.5,150,150,150,150,78,78,78,78,560,560,80,80
10615246,BIOL-1620-001,4,6,7,6,6,10,10,10,10,10,85,74,78,66,10,10,60,10,10,20,30,100,50,50,36,0,0,,,79,79,79,79,303,303,75.75,75.75,150,150,150,150,86,86,86,86,618,618,88.29,88.29
10708936,BIOL-1620-001,3,3,8,6,6,10,4,10,10,10,70,61,64,72,,,60,10,10,,30,60,50,50,32,0,0,,,70,70,70,70,267,267,66.75,66.75,110,110,110,110,82,82,82,82,529,529,75.57,75.57
10687251,BIOL-1620-001,4,6,8,6,6,10,2,10,10,10,87,67,72,75,10,,110,,,,30,80,70,50,48,0,0,,,72,72,72,72,301,301,75.25,75.25,150,150,150,150,98,98,98,98,621,621,88.71,88.71
10618916,BIOL-1620-001,2,0,3,0,6,10,4,10,10,10,34,44,53,58,,,60,10,10,,30,60,50,50,28,0,0,,,55,55,55,55,189,189,47.25,47.25,110,110,110,110,78,78,78,78,432,432,61.71,61.71
